馬番,競走馬,種牡馬,騎手,調教師
1<br>(77.3),ギャップオブリアル<br>(86.4),タイムパラドックス<br>(35.0),櫻井光<br>(80.0),八木仁<br>(75.0)
2<br>(85.3),ピノッキオ<br>(88.3),タートルボウル<br>(31.6),小杉亮<br>(100.5),玉井昇<br>(91.7)
3<br>(74.9),ディーズマヌーバー<br>(78.2),クロフネ<br>(50.0),藤本現<br>(83.4),伊藤滋<br>(79.8)
4<br>(76.4),ロイヤルヨット<br>(88.0),キングズベスト<br>(20.9),本田重<br>(97.0),石井勝<br>(85.4)
5<br>(81.7),マルヒロキング<br>(78.4),キングヘイロー<br>(33.3),仲野光<br>(80.0),玉井等<br>(59.0)
6<br>(95.9),アイノウィステリア<br>(87.5),リーチザクラウン<br>(39.7),石崎駿<br>(83.4),石井勝<br>(85.4)
7<br>(79.3),メイショウポルポ<br>(89.7),カジノドライヴ<br>(65.3),山崎誠<br>(95.7),稲益貴<br>(118.6)
8<br>(105.1),レストレーション<br>(91.6),アサクサキングス<br>(28.6),森泰斗<br>(98.1),佐藤太<br>(nan)
9<br>(81.4),ビーエイブルトゥ<br>(82.6),スウェプトオーヴァーボード<br>(60.6),池谷匠<br>(81.7),新井清<br>(133.4)
10<br>(86.2),バジガクアリア<br>(83.2),ロージズインメイ<br>(52.5),濱田達<br>(126.2),山中尊<br>(120.4)
11<br>(69.9),プリトヴィツェ<br>(85.8),マルカシェンク<br>(12.4),篠谷葵<br>(92.0),山下之<br>(nan)
12<br>(80.8),パークフォンテン<br>(86.3),ヴァンセンヌ<br>(37.6),酒井忍<br>(87.4),波多健<br>(55.6)
13<br>(42.9),トゥザキングダム<br>(84.2),シンボリクリスエス<br>(52.1),岡村健<br>(80.8),宮下靖<br>(20.0)
14<br>(82.9),ギンジ<br>(87.6),キズナ<br>(28.2),張田昂<br>(93.8),林　幻<br>(nan)
