,0
サウスヴィグラス,88.0
ゴールドアリュール,77.7
パイロ,72.6
シニスターミニスター,70.0
ヘニーヒューズ,81.5
キンシャサノキセキ,53.8
フリオーソ,51.7
クロフネ,50.0
スマートファルコン,56.4
エスポワールシチー,71.3
アイルハヴアナザー,68.3
カジノドライヴ,65.3
ロージズインメイ,52.5
シンボリクリスエス,52.1
ロードカナロア,51.7
キングカメハメハ,63.6
ネオユニヴァース,50.0
オルフェーヴル,45.3
メイショウボーラー,35.0
スウェプトオーヴァーボード,60.6
カネヒキリ,52.5
プリサイスエンド,45.3
ダイワメジャー,39.7
ハーツクライ,36.3
エンパイアメーカー,55.5
トランセンド,60.6
バトルプラン,48.2
ベルシャザール,30.7
ヴァーミリアン,40.1
タイムパラドックス,35.0
ルーラーシップ,31.2
グランプリボス,39.3
ジャスタウェイ,46.1
ディープブリランテ,38.0
キングヘイロー,33.3
ダンカーク,38.9
ストロングリターン,33.7
エイシンフラッシュ,23.5
スクリーンヒーロー,40.1
ゼンノロブロイ,38.0
トゥザグローリー,39.3
モンテロッソ,30.7
ジャングルポケット,25.6
アドマイヤムーン,28.6
ブラックタイド,31.6
トビーズコーナー,47.4
スズカコーズウェイ,81.5
ベーカバド,29.9
フレンチデピュティ,85.0
ディープスカイ,47.0
ヨハネスブルグ,41.8
タートルボウル,31.6
アドマイヤオーラ,177.2
ヴィクトワールピサ,22.6
ストリートセンス,138.8
トーセンブライト,80.3
トゥザワールド,32.4
ダノンバラード,181.9
ジョーカプチーノ,58.1
ローレルゲレイロ,41.4
ディープインパクト,31.2
トーセンホマレボシ,24.8
アグネスデジタル,43.1
ノヴェリスト,26.5
ホッコータルマエ,69.6
トーセンジョーダン,22.2
メイショウサムソン,27.8
マツリダゴッホ,21.3
ローエングリン,31.6
タイキシャトル,28.2
ダノンシャンティ,31.6
スターリングローズ,39.3
ステイゴールド,29.0
リーチザクラウン,39.7
アッミラーレ,40.1
キングズベスト,20.9
American Pharoah,1183.9
マジェスティックウォリアー,34.6
カレンブラックヒル,39.7
ノボジャック,48.2
マンハッタンカフェ,35.4
キズナ,28.2
ナカヤマフェスタ,22.6
アドマイヤマックス,38.4
エスケンデレヤ,35.4
ローズキングダム,24.8
ワークフォース,17.1
ヴィットリオドーロ,123.8
リアルインパクト,28.6
ハービンジャー,14.5
アジアエクスプレス,58.1
フェノーメノ,24.3
キャプテントゥーレ,37.6
Speightstown,155.4
アンライバルド,17.9
シビルウォー,20.9
ケイムホーム,23.9
スパイキュール,96.1
ワールドエース,21.8
ショウナンカンプ,25.6
ワイルドラッシュ,54.2
タニノギムレット,18.8
ロードアルティマ,36.3
ゴールドヘイロー,34.6
アサクサキングス,28.6
バンブーエール,106.3
ドリームジャーニー,28.2
マクフィ,77.3
ストーミングホーム,29.0
ヴァンセンヌ,37.6
Malibu Moon,424.0
セレン,408.6
サムライハート,18.4
スピルバーグ,22.6
シルポート,50.8
グラスワンダー,13.7
フィガロ,44.0
ダノンレジェンド,49.1
バゴ,20.5
ケープブランコ,25.2
ハタノヴァンクール,58.5
アポロキングダム,27.8
ファスリエフ,40.1
ハードスパン,45.7
サクラプレジデント,55.1
ノーザンリバー,64.0
ディスクリートキャット,39.3
エピファネイア,16.2
エイシンアポロン,46.5
トーセンファントム,45.7
マヤノトップガン,77.7
アルデバランＩＩ,37.1
エーシンフォワード,64.0
タイセイレジェンド,45.7
ビービーガルダン,32.0
オウケンブルースリ,45.3
アーネストリー,31.2
パドトロワ,17.1
フサイチリシャール,82.8
スウィフトカレント,28.2
スズカマンボ,20.5
フォーティナイナーズサン,26.0
トワイニング,58.5
ミッキーアイル,108.0
コパノリチャード,29.9
レッドスパーダ,23.5
Macho Uno,242.9
ロジユニヴァース,24.8
オンファイア,47.0
スクワートルスクワート,21.3
カンパニー,26.5
ヤマニンセラフィム,62.3
ウォーエンブレム,220.3
マイネルラヴ,47.0
トーセンモナーク,46.1
サマーバード,36.3
デュランダル,17.9
ハイアーゲーム,36.7
ゴールドシップ,13.2
オレハマッテルゼ,36.3
トーセンラー,15.4
サンカルロ,28.2
ファルブラヴ,20.5
ホワイトマズル,28.2
ヒルノダムール,21.8
Distorted Humor,160.1
Violence,158.0
ブラックタキシード,20.5
ネオヴァンドーム,35.9
サクラオリオン,46.1
クリエイターII,45.7
グランシュヴァリエ,64.9
マコトスパルビエロ,64.5
スマートロビン,44.8
ラブリーデイ,20.9
エイシンヒカリ,39.3
サウンドボルケーノ,53.4
ルースリンド,21.8
Frankel,55.1
ドゥラメンテ,64.0
サクラゼウス,23.5
ウインバリアシオン,16.7
グランデッツァ,40.6
ダンスインザダーク,19.2
マーベラスサンデー,40.1
Street Boss,177.6
Orb,354.8
ワンダーアキュート,23.5
アジュディミツオー,46.5
セイントアレックス,26.9
スマートボーイ,28.6
シャンハイボビー,79.0
ソングオブウインド,31.6
エキストラエンド,103.7
Tapit,50.4
トーセンロレンス,33.3
サイレントディール,29.9
シルバーチャーム,48.7
リオンディーズ,29.0
グロリアスノア,96.1
