,0
内野健二,53.8
宇野木博徳,85.8
岡田一男,68.7
小澤宏次,124.3
海馬澤司,74.8
鹿沼良和,87.9
川島豊,63.9
川村守男,63.2
工藤伸輔,88.5
小久保智,150.1
小林真治,41.8
牛房榮吉,83.9
酒井一則,66.4
柘榴浩樹,76.1
繁田健一,0.0
鈴木勝文,76.7
冨田敏男,34.4
野口孝,87.7
野口寛仁,83.8
長谷川忍,88.5
平山真希,92.4
藤原智行,80.9
水野貴史,80.3
箕輪武,54.6
薮口一麻,52.5
山越光,43.0
横山保,52.7
吉田正美,30.1
阿井正雄,61.0
新井清重,133.4
石井勝男,85.4
伊藤滋規,79.8
稲益貴弘,118.6
岡林光浩,144.3
川島正一,174.7
齊藤敏,100.4
坂本昇,149.0
佐々木功,73.6
佐々木清明,63.9
佐藤裕太,153.8
渋谷信博,51.5
玉井昇,91.7
玉井等,59.0
玉井勝,56.7
出川克己,129.5
凾館一昭,61.3
波多野健,55.6
林幻,100.3
林正人,123.0
張田京,148.9
宮下靖旨,20.0
森始,45.5
矢内博,111.8
矢野義幸,104.7
山下貴之,135.5
山田信大,167.5
山中尊徳,120.4
山本学,90.1
米谷康秀,151.1
渡邊薫,69.3
渡邊貴光,152.9
赤嶺本浩,65.7
赤嶺亮,0.0
秋吉和美,67.2
朝倉実,50.2
荒井朋弘,98.0
荒山勝徳,159.0
市村誠,67.8
井上弘之,57.4
上杉昌宏,66.7
蛯名雄太,77.9
遠藤茂,36.5
大宮和也,56.9
岡野尚光,28.9
小野寺晋廣,61.7
柏木一夫,36.7
久保杉隆,56.9
久保田信之,63.6
栗田裕光,79.6
栗田泰昌,14.1
坂井英光,0.0
阪本一栄,90.2
櫻木英喜,37.9
佐々木忠昭,42.3
佐々木洋一,84.8
佐宗応和,98.0
佐藤壽,19.5
佐野謙二,77.0
澤佳宏,82.1
嶋田幸晴,72.1
庄子昭彦,43.4
鈴木啓之,102.4
須田和伸,101.5
高岩孝敏,29.3
高野毅,89.9
高橋清顕,84.9
鷹見浩,105.8
立花伸,100.0
立花貢,69.1
田中正人,127.9
月岡健二,67.5
辻野豊,71.3
中道啓二,112.3
納谷和玖,81.0
橋本和馬,91.4
福田真広,123.6
福永敏,117.0
藤田輝信,164.1
藤村和生,19.9
堀江仁,59.0
堀千亜樹,89.7
新井健児,34.9
池田孝,85.5
今井輝和,46.3
岩本洋,86.6
内田勝義,130.2
加藤誠一,82.3
河津裕昭,93.8
久保勇,40.4
久保秀男,96.8
栗林信文,67.9
甲田悟史,41.7
佐々木仁,108.0
佐藤博紀,115.5
鈴木義久,100.7
高月賢一,134.3
武井和実,61.8
田島寿一,87.8
田邊陽一,83.6
林隆之,122.3
原三男,81.3
平田正一,95.4
古澤悟,0.0
村田順一,59.0
村田六郎,42.9
八木仁,75.0
八木正喜,82.6
安池成実,56.5
山崎尋美,100.3
山崎裕也,87.9
山田質,75.1
山田正実,66.4
吉橋淳一,24.1
