,データ数,中央値,平均,標準偏差
ooi_10_01_tl,93.0,61.1,61.06344086021503,0.981323966609769
ooi_10_02_tl,27.0,61.0,61.37777777777777,1.2267321610163293
ooi_10_03_tl,21.0,60.4,60.55714285714287,0.7215063607283231
ooi_10_04_tl,0.0,,,
ooi_12_01_tl,3241.0,75.5,75.68235112619571,1.5402691848691725
ooi_12_02_tl,933.0,75.5,75.72025723472669,1.7320096548486443
ooi_12_03_tl,850.0,76.2,76.2828235294118,1.6675978165179304
ooi_12_04_tl,999.0,76.1,76.31411411411406,1.8152799987712254
ooi_14_01_tl,1574.0,89.4,89.6141041931385,1.829959560816223
ooi_14_02_tl,245.0,89.2,89.54244897959182,1.7889214291182225
ooi_14_03_tl,352.0,90.1,90.26079545454544,1.9702191421294921
ooi_14_04_tl,367.0,89.8,90.05531335149858,1.6620376747064576
ooi_15_01_tl,0.0,,,
ooi_15_02_tl,0.0,,,
ooi_15_03_tl,0.0,,,
ooi_15_04_tl,0.0,,,
ooi_16_01_tl,2537.0,104.7,104.7603074497438,1.7953775382371508
ooi_16_02_tl,812.0,104.9,105.0564039408867,2.2127243000426495
ooi_16_03_tl,735.0,105.7,105.96217687074834,2.270918057583746
ooi_16_04_tl,750.0,105.4,105.5297333333333,2.013110217023254
ooi_17_01_tl,49.0,111.3,111.4489795918367,1.475793917549069
ooi_17_02_tl,20.0,110.15,110.50499999999997,1.2006467555359255
ooi_17_03_tl,0.0,,,
ooi_17_04_tl,16.0,111.05,110.81874999999998,1.1600107758120177
ooi_18_01_tl,529.0,116.8,116.8899810964084,1.722091806215891
ooi_18_02_tl,103.0,116.2,116.18058252427187,2.3712765757108833
ooi_18_03_tl,141.0,117.7,117.86524822695036,1.891144242274006
ooi_18_04_tl,160.0,117.3,117.48562499999998,1.9798623570415674
ooi_20_01_tl,69.0,128.1,128.70289855072465,1.8425502638600686
ooi_20_02_tl,25.0,125.8,126.70800000000003,2.8441343146905
ooi_20_03_tl,40.0,128.45,129.015,2.574286059852074
ooi_20_04_tl,12.0,128.75,129.3,1.7796833221876112
ooi_24_01_tl,0.0,,,
ooi_24_02_tl,30.0,157.7,157.80666666666667,1.9247809249874117
ooi_24_03_tl,0.0,,,
ooi_24_04_tl,0.0,,,
ooi_26_01_tl,32.0,172.3,172.67187499999997,1.6629228785484897
ooi_26_02_tl,0.0,,,
ooi_26_03_tl,0.0,,,
ooi_26_04_tl,0.0,,,
