,データ数,中央値,平均,標準偏差
kawasaki_9_01_tl,651.0,55.8,55.92872503840247,1.5662364699062594
kawasaki_9_02_tl,334.0,55.7,55.75508982035923,1.2362472848364257
kawasaki_9_03_tl,273.0,56.3,56.31355311355311,1.0794195292593696
kawasaki_9_04_tl,123.0,55.8,55.884552845528404,1.221798762663784
kawasaki_14_01_tl,1298.0,93.2,93.31294298921414,1.7816728596197517
kawasaki_14_02_tl,626.0,93.0,93.18578274760387,2.0504920254236265
kawasaki_14_03_tl,744.0,94.2,94.37768817204304,2.336885926322873
kawasaki_14_04_tl,263.0,93.9,94.01026615969577,1.6316084432530782
kawasaki_15_01_tl,1152.0,98.1,98.10824652777778,1.642144679014848
kawasaki_15_02_tl,597.0,98.3,98.43969849246231,1.7954683568222727
kawasaki_15_03_tl,490.0,98.6,98.81836734693876,1.6823240169209686
kawasaki_15_04_tl,217.0,99.7,99.70506912442404,1.9083932838268038
kawasaki_16_01_tl,514.0,105.2,105.26536964980545,1.809754584595653
kawasaki_16_02_tl,234.0,104.6,104.79615384615386,1.5876488655983694
kawasaki_16_03_tl,227.0,105.5,105.6440528634361,2.0920408287247882
kawasaki_16_04_tl,111.0,105.9,105.89009009009008,2.2266140194946202
kawasaki_20_01_tl,221.0,134.8,134.81809954751134,2.1704708347708097
kawasaki_20_02_tl,134.0,135.64999999999998,135.64402985074628,2.3058119178731786
kawasaki_20_03_tl,136.0,136.0,136.2198529411765,3.172166448692992
kawasaki_20_04_tl,42.0,135.45,135.6547619047619,2.413195673077949
kawasaki_21_01_tl,54.0,139.4,138.8759259259259,2.0989606758912394
kawasaki_21_02_tl,39.0,138.8,138.98205128205134,1.685678341494945
kawasaki_21_03_tl,13.0,137.3,137.71538461538464,1.2515631252199244
kawasaki_21_04_tl,12.0,136.65,137.78333333333333,3.521320344657235
