,データ数,中央値,平均,標準偏差
funabashi_10_01_tl,69.0,62.4,62.24492753623186,1.5778369624159203
funabashi_10_02_tl,249.0,62.7,62.80883534136547,1.6631205635998045
funabashi_10_03_tl,67.0,62.7,62.602985074626886,1.8105724985487694
funabashi_10_04_tl,41.0,62.9,63.06341463414635,1.181261211070814
funabashi_12_01_tl,810.0,76.4,76.5817283950617,1.7095491205601698
funabashi_12_02_tl,1494.0,76.5,76.69625167336008,1.8812393859299334
funabashi_12_03_tl,342.0,77.0,77.00877192982455,1.5724102986323087
funabashi_12_04_tl,257.0,76.1,76.16848249027242,1.6552646929702128
funabashi_15_01_tl,461.0,98.4,98.57787418655094,1.7726511198857549
funabashi_15_02_tl,879.0,98.8,98.86666666666662,1.7421000775885682
funabashi_15_03_tl,245.0,99.0,99.10571428571431,1.4305965739428599
funabashi_15_04_tl,152.0,98.4,98.51644736842104,1.340378718793444
funabashi_16_01_tl,336.0,104.6,104.46994047619046,1.759771354559147
funabashi_16_02_tl,576.0,104.2,104.46041666666665,1.6931049429453824
funabashi_16_03_tl,177.0,104.0,104.27175141242937,1.8114828761488138
funabashi_16_04_tl,164.0,104.3,104.42987804878044,1.5830459061141846
funabashi_17_01_tl,28.0,110.1,110.0142857142857,1.5486467893961091
funabashi_17_02_tl,105.0,110.1,110.43619047619049,1.9088923393868926
funabashi_17_03_tl,29.0,110.6,111.22758620689655,2.498270337614197
funabashi_17_04_tl,9.0,109.7,110.13333333333334,1.5223337347638328
funabashi_18_01_tl,54.0,115.8,116.89259259259259,2.9686952760780696
funabashi_18_02_tl,75.0,115.4,115.83733333333332,2.555744633297823
funabashi_18_03_tl,8.0,113.55,113.675,0.8564878449642048
funabashi_18_04_tl,0.0,,,
funabashi_22_01_tl,10.0,149.45,149.73,1.3308727295358604
funabashi_22_02_tl,121.0,149.2,149.0471074380165,2.17757795039065
funabashi_22_03_tl,12.0,147.75,147.79999999999998,1.8310454043325282
funabashi_22_04_tl,20.0,150.0,150.195,3.4051779457328304
funabashi_24_01_tl,0.0,,,
funabashi_24_02_tl,0.0,,,
funabashi_24_03_tl,14.0,159.3,160.04999999999998,2.5028445355696314
funabashi_24_04_tl,0.0,,,
